Panel,ori,chimera,ligand_1,ligand_2,n_1,n_2,mean_1,mean_2,sd_1,sd_2,sem_1,sem_2,tval_onesided,df_onesided,stderr_onesided,pval_onesided,sig (padj_onesided<0.05),sig (padj_onesided<0.01)
T1R3,"20211117,19_S3",AF1-18)-AF3-116),No ligand,Histidine,6,6,2452.728490833333,25027.203918333333,492.8638109714506,8842.297757249697,201.21080826059926,3609.852943169639,-6.243880087061341,5.031068436548203,3615.4562728197097,7.546395793650724e-4,yes,yes
T1R3,"20211117,19_S3",AF1-18)-AF3-129),No ligand,Histidine,6,6,3012.297325666667,20975.457445833334,280.88605375855485,4150.345528259285,114.67125126207075,1694.3714667461918,-10.577469650907966,5.045801819756333,1698.2473798565534,6.182393263772523e-5,yes,yes
T1R3,"20211117,19_S3",AF1-18)-AF3-130),No ligand,Histidine,6,6,1911.9556798333333,33738.516112666664,606.1365890703056,7280.168210845838,247.45422627554933,2972.116226367174,-10.671460154154529,5.069316608427252,2982.3997815746766,5.7593856150167616e-5,yes,yes
T1R3,"20211117,19_S3",AF1-18)-AF3-131),No ligand,Histidine,6,6,2165.1178096666667,102849.410407,846.8672065754919,5199.233136503091,345.7320893343517,2122.578039700456,-46.817912127038824,5.265122423226753,2150.5506765045375,2.096844298869474e-8,yes,yes
T1R3,"20211117,19_S3",AF1-18)-AF3-132),No ligand,Histidine,6,6,2439.5490563333333,104721.1819295,664.3700295461999,5692.068190362836,271.2279287976623,2323.777107919362,-43.718465253278005,5.136206954584901,2339.5522299469926,4.1707406770129616e-8,yes,yes
T1R3,"20211117,19_S3",AF1-18)-AF3-123),No ligand,Histidine,6,6,2211.53921,31858.296550833333,652.8777777179904,2168.7937938323116,266.5362366352156,885.4063587006771,-32.06252349208396,5.898825411123405,924.6545222228978,3.8062140572465337e-8,yes,yes
T1R3,"20211117,19_S3",AF1-18)-AF3-125),No ligand,Histidine,6,6,2738.8531528333333,101667.60650533333,706.5611780603174,9884.25095645549,288.45239305125773,4035.2285554887567,-24.453871390231317,5.051097620492488,4045.525216592881,9.63149911108269e-7,yes,yes
T1R3,"20211117,19_S3",AF1-18)-AF3-124),No ligand,Histidine,6,6,3040.8295691666667,31109.228787833334,635.6431702567932,9306.651656551401,259.50023760236604,3799.4246287297888,-7.370368504279265,5.046647717882011,3808.276235085131,3.470298026022561e-4,yes,yes
T1R3,"20211117,19_S3",AF1-18)-AF3-128),No ligand,Histidine,6,6,2434.2522606666666,29861.76321216667,528.1785689711295,5111.628395450715,215.6279978421132,2086.813553929294,-13.073642049317208,5.106756296338037,2097.924269919295,2.016684607612016e-5,yes,yes
T1R3,"20211117,19_S3",AF1-18)-AF3-133),No ligand,Histidine,6,6,2219.6355803333336,33467.926361666665,482.13013642597093,5043.837387217301,196.8288039770117,2059.1379907091805,-15.106565513271551,5.091362957250735,2068.523831831981,1.002654647031626e-5,yes,yes
T1R3,"20211117,19_S3",AF1-18)-AF3-122),No ligand,Histidine,6,6,2578.5186875,25503.328146333333,670.7754936935575,3592.645127579469,273.8429485854486,1466.6912315776453,-15.364777180415173,5.348175569635613,1492.0365710252286,6.2470098722940525e-6,yes,yes
T1R3,"20211117,19_S3",AF1-18)-AF3-121),No ligand,Histidine,6,6,2734.7657595,113446.502585,654.1410012650937,2994.6862409574182,267.05194548879416,1222.5755383465182,-88.47014090629445,5.476049937065146,1251.402288855438,3.7361236919374434e-10,yes,yes
T1R3,"20211117,19_S3",AF1-18)-AF3-117),No ligand,Histidine,6,6,2641.3503935,32556.697591166667,805.2892320176796,7822.607836151015,328.7579523001749,3193.566276077871,-9.318135443188265,5.10596242664719,3210.4434819667017,1.0705349024463114e-4,yes,yes
T1R3,"20211117,19_S3",AF1-18)-AF3-126),No ligand,Histidine,6,6,2672.5868408333336,18275.135652,1137.3328108878875,1525.2151064698055,464.3141757334401,622.666459805957,-20.08761909917514,9.247272803536534,776.7246448737848,3.038689395680484e-9,yes,yes
T1R3,"20211117,19_S3",AF1-18)-AF3-127),No ligand,Histidine,6,6,2617.8906295,24601.817206833333,437.0229237349454,7867.117189205612,178.41386150831065,3211.7371433720623,-6.834334244598882,5.030858375665855,3216.688823012578,4.992587085738552e-4,yes,yes
