ori,Chimera,Category,Ligand,Concentraction (mM),mean,n,sd,sem
20200813,Leco,Sugar,Sucralose,3.125,3.248935294833333,6,0.44433005057706176,0.18139698354980727
20200813,Leco,Sugar,Sucralose,6.25,5.932613366,6,1.483207200642896,0.6055168040661543
20200813,Leco,Sugar,Sucralose,12.5,13.6902107725,6,1.4857637920540645,0.6065605281391784
20200813,Leco,Sugar,Sucralose,25,26.58874405983333,6,3.594620657887971,1.467497738448851
20200813,Leco,Sugar,Sucralose,50,53.234901720500005,6,3.258215151933605,1.33016076574035
20200813,Leco,Sugar,Sucralose,100,67.41998966016666,6,5.030418118103777,2.05365959703431
20200813,Leco,Sugar,Sucrose,0.2604166666666667,2.240406912,6,0.7402868384735012,0.3022208362597048
20200813,Leco,Sugar,Sucrose,1.5625,1.8110834768333333,6,0.3083051227266066,0.12586503929438864
20200813,Leco,Sugar,Sucrose,3.125,2.1437295813333335,6,0.3516706682093669,0.14356894910275841
20200813,Leco,Sugar,Sucrose,6.25,2.6444301891666666,6,0.5337221790028682,0.21789116716056886
20200813,Leco,Sugar,Sucrose,12.5,2.8484263365,6,0.5518455765353166,0.22529001322058792
20200813,Leco,Sugar,Sucrose,25,4.396722078,6,0.7131987502820788,0.29116217056362226
20200813,Leco,Sugar,Sucrose,50,7.782630724333334,6,0.98228722451218,0.4010170801515903
20200813,Leco,Sugar,Sucrose,100,16.221238601166668,6,1.3454557160249665,0.5492799959620254
20200813,Neo,Amino acid,Ala,0.2604166666666667,1.9807833985,6,0.3993582237596153,0.16303731213254785
20200813,Neo,Amino acid,Ala,1.5625,3.3956350158333333,6,0.7613348721514492,0.3108136600263529
20200813,Neo,Amino acid,Ala,3.125,5.350299490499999,6,0.6562729772718191,0.2679223210488498
20200813,Neo,Amino acid,Ala,6.25,8.4349877345,6,1.585405069313657,0.6472389092400428
20200813,Neo,Amino acid,Ala,12.5,14.059386729833333,6,1.5521947700612353,0.6336808613444483
20200813,Neo,Amino acid,Ala,25,20.370136303333332,6,3.2627991035527515,1.3320321561524358
20200813,Neo,Amino acid,Ala,50,34.59721575466667,6,2.709603296813535,1.106190913759373
20200813,Neo,Amino acid,Ala,100,50.62505862483333,6,6.216423090973661,2.537844099690081
20200813,Neo,Amino acid,Arg,0.0036168981481481486,1.8641773951666667,6,0.3925528568189477,0.160259032713041
20200813,Neo,Amino acid,Arg,0.02170138888888889,3.966903526166667,6,0.70943436025385,0.2896253647699586
20200813,Neo,Amino acid,Arg,0.13020833333333334,18.760260099,6,2.9920322500261753,1.2214920510859317
20200813,Neo,Amino acid,Arg,0.78125,38.10679965133333,6,5.810101977292125,2.3719641996502205
20200813,Neo,Amino acid,Arg,1.5625,47.30648191583334,6,5.536424138975529,2.2602356900196248
20200813,Neo,Amino acid,Arg,3.125,56.85948858383333,6,4.793832483110477,1.957073915999988
20200813,Neo,Amino acid,Arg,6.25,62.58305480866667,6,3.7511719371763443,1.53140953058826
20200813,Neo,Amino acid,Arg,12.5,69.97492679599999,6,5.115150462967521,2.088251431971928
20200813,Neo,Amino acid,Arg,25,71.95543470683333,6,8.513099540169698,3.475458333822978
20200813,Neo,Amino acid,Arg,50,72.73868198283333,6,5.7430465817848875,2.3445889490680125
20200813,Neo,Amino acid,His,0.13020833333333334,2.0511521518333335,6,0.563917035587535,0.2302181657420606
20200813,Neo,Amino acid,His,0.78125,2.2405372411666664,6,0.5160416810029469,0.21067313407755123
20200813,Neo,Amino acid,His,1.5625,3.204506738666667,6,0.309590596647013,0.12638983182483043
20200813,Neo,Amino acid,His,3.125,4.457635313666667,6,0.5527164239512871,0.22564553518941272
20200813,Neo,Amino acid,His,6.25,9.339409818333333,6,1.3445079051266664,0.5488930537831114
20200813,Neo,Amino acid,His,12.5,16.578224858,6,2.372259897734337,0.9684710477860218
20200813,Neo,Amino acid,His,25,27.33343745233333,6,2.6104353207532878,1.0657057570640158
20200813,Neo,Amino acid,His,50,37.18623768016667,6,2.961665377851854,1.2090948274340303
20200813,Neo,Sugar,Fructose,0.2604166666666667,1.9290820963333333,6,0.5819536670010388,0.23758158968235032
20200813,Neo,Sugar,Fructose,1.5625,2.0992261395,6,0.5038640529377363,0.20570163823802423
20200813,Neo,Sugar,Fructose,3.125,2.1157612275,6,0.7131696562797792,0.2911502929869207
20200813,Neo,Sugar,Fructose,6.25,2.5223810306666667,6,0.4574921553171034,0.18677039030883558
20200813,Neo,Sugar,Fructose,12.5,2.9589316196666666,6,0.8517273875990727,0.34771624992857353
20200813,Neo,Sugar,Fructose,25,2.8470744033333335,6,0.7770496637375133,0.3172291968263594
20200813,Neo,Sugar,Fructose,50,3.534588250166667,6,1.0580772209764975,0.43195821664241013
20200813,Neo,Sugar,Fructose,100,6.332527141,6,0.8944560855451578,0.3651601678188095
20200813,Neo,Sugar,Sucralose,0.2604166666666667,1.6698749635,6,0.4535695984088531,0.18516901315679518
20200813,Neo,Sugar,Sucralose,1.5625,1.7859307003333333,6,0.3401023600002712,0.13884620705283604
20200813,Neo,Sugar,Sucralose,3.125,2.0926270946666667,6,0.5069180848419302,0.2069484415419335
20200813,Neo,Sugar,Sucralose,6.25,2.2248639795000003,6,0.5472082462760631,0.22339683106993133
20200813,Neo,Sugar,Sucralose,12.5,2.0602494578333332,6,0.37690785854977954,0.153871988915343
20200813,Neo,Sugar,Sucralose,25,3.042276271,6,0.6370490800491375,0.26007419787163705
20200813,Neo,Sugar,Sucralose,50,7.328259374833333,6,1.606801809487444,0.6559740918374908
20200813,Neo,Sugar,Sucralose,100,20.911931262166668,6,1.6121208192080845,0.658145568462903
20200813,Neo,Sugar,Sucrose,0.2604166666666667,2.0480830941666666,6,0.3656351753811296,0.14926993528280091
20200813,Neo,Sugar,Sucrose,1.5625,1.9614679595,6,0.21394014966684252,0.08734070036307146
20200813,Neo,Sugar,Sucrose,3.125,2.1257888051666667,6,0.5471245804102509,0.2233626746232433
20200813,Neo,Sugar,Sucrose,6.25,2.3291190388333334,6,0.4371043041379568,0.17844708491871733
20200813,Neo,Sugar,Sucrose,12.5,2.7957918746666666,6,1.2469326626215935,0.5090581278388184
20200813,Neo,Sugar,Sucrose,25,3.0380245418333334,6,0.32042588510656195,0.13081331981512412
20200813,Neo,Sugar,Sucrose,50,3.7921991084999997,6,0.8094967297986522,0.3304756560763874
20200813,Neo,Sugar,Sucrose,100,7.041187454999999,6,0.946915247178109,0.38657653087462934
