Panel,ori,ref_chimera,chimera,ligand,n_1,n_2,mean_1,mean_2,sd_1,sd_2,sem_1,sem_2,padj_onesided,sig (padj_onesided<0.05)
T1R1,"20211117,19_S2",AF1-18)-AF3-116),AF1-25)-AF3-116),Sucrose,6,6,6506.9563655,4450.1101775,1756.1685748245998,968.5053067522348,716.9528184385016,395.3906357867791,0.03041077825193754,yes
T1R1,"20211117,19_S2",AF1-18)-AF3-116),AF1-25)-AF3-116),Sucralose,6,6,12203.668333666667,2400.2117588333335,2977.626127440124,470.09150771272573,1215.6107761679634,191.91405438530018,0.001102262569820514,yes
T1R1,"20211117,19_S2",AF1-18)-AF3-116),AF1-25)-AF3-116),No ligand,6,6,2450.465892333333,1955.0216761666666,507.4628245724305,352.8287849176894,207.17083060565798,144.0417482690887,0.37717061762011445,
T1R3,"20211117,19_S3",AF1-18)-AF3-116),AF1-18)-AF3-129),Sucrose,6,6,7146.651489666667,2443.1499851666667,2122.2910787709834,738.6140889747536,866.4217047749617,301.5379391364668,0.01361894199126366,yes
T1R3,"20211117,19_S3",AF1-18)-AF3-116),AF1-18)-AF3-129),Sucralose,6,6,15182.8071175,2030.8165595,5349.864634098266,337.8947712359692,2184.0730910836974,137.94496271376252,0.0018800657296726558,yes
T1R3,"20211117,19_S3",AF1-18)-AF3-116),AF1-18)-AF3-129),No ligand,6,6,2452.728490833333,3012.297325666667,492.8638109714506,280.88605375855485,201.21080826059926,114.67125126207075,0.9788345188025316,
T1R3,"20211117,19_S3",AF1-18)-AF3-116),AF1-18)-AF3-130),Sucrose,6,6,7146.651489666667,3347.3601006666668,2122.2910787709834,1145.0087545376914,866.4217047749617,467.4478666061695,0.01361894199126366,yes
T1R3,"20211117,19_S3",AF1-18)-AF3-116),AF1-18)-AF3-130),Sucralose,6,6,15182.8071175,2608.266844166667,5349.864634098266,1108.318741351224,2184.0730910836974,452.4692314456976,0.0018800657296726558,yes
T1R3,"20211117,19_S3",AF1-18)-AF3-116),AF1-18)-AF3-130),No ligand,6,6,2452.728490833333,1911.9556798333333,492.8638109714506,606.1365890703056,201.21080826059926,247.45422627554933,0.37717061762011445,
T1R3,"20211117,19_S3",AF1-18)-AF3-116),AF1-18)-AF3-131),Sucrose,6,6,7146.651489666667,3254.4103328333335,2122.2910787709834,1464.126497220088,866.4217047749617,597.7271395129449,0.01361894199126366,yes
